"Discipline","Journal","Author position","Age","Standardised IF","n useable papers","n authors","Gender ratio of sample","Observed alpha","Lower 95 CI","Upper 95 CI","Alpha adjusted","Lower 95 CI","Upper 95 CI","Unadjusted p value","Adjusted p value"
"Nanotechnology","Nanomedicine (Lond)","All authors","New",NA,93,483,42.029,0.024,-0.027,0.059,0.028,-0.025,0.063,0.508,0.608
"Medicine","PLoS Med","All authors","New",0.828,93,536,44.216,0.069,0.033,0.126,0.072,0.036,0.128,0.019,0.049
"Nephrology","Ren Fail","All authors","New",-0.425,93,542,34.317,0.215,0.121,0.269,0.217,0.125,0.267,0,0
"Gastroenterology","Scand J Gastroenterol","All authors","New",-0.108,93,538,34.201,-0.016,-0.052,0.02,-0.016,-0.053,0.026,0.543,0.64
"Public Health","Scand J Public Health","All authors","New",-0.179,93,429,57.809,0.114,0.022,0.184,0.118,0.032,0.192,0.002,0.008
"Toxicology","Toxicol Ind Health","All authors","New",-0.16,93,399,43.358,0.145,0.076,0.258,0.149,0.086,0.259,0.001,0.004
"Ophthalmology","Vision Res","All authors","New",-0.052,93,303,34.323,-0.01,-0.109,0.066,-0.003,-0.093,0.072,0.86,0.906
"Chemistry","Acc Chem Res","All authors","New",NA,92,282,29.078,0.114,-0.01,0.248,0.118,0,0.241,0.078,0.146
"Public Health","Aust N Z J Public Health","All authors","New",NA,92,463,65.227,0.057,0.002,0.109,0.06,0.004,0.118,0.085,0.155
"Public Health","Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz","All authors","New",NA,92,315,40,0.128,0.01,0.207,0.131,0.013,0.202,0.024,0.059
"Veterinary Medicine","Can Vet J","All authors","New",NA,92,345,55.942,0.009,-0.055,0.107,0.014,-0.051,0.112,0.859,0.905
"Medicine","Health Policy","All authors","New",0.004,92,354,46.328,-0.006,-0.062,0.053,-0.005,-0.061,0.052,0.902,0.937
"Neurology","Neurochem Res","All authors","New",-0.032,92,413,47.458,0.053,-0.021,0.115,0.056,-0.02,0.121,0.175,0.273
"Psychology","Psychol Assess","All authors","New",NA,92,366,42.623,0.064,-0.027,0.117,0.066,-0.024,0.124,0.15,0.241
"Cardiology","Rev Port Cardiol","All authors","New",-0.425,92,503,34.99,0.084,0.02,0.15,0.085,0.022,0.148,0.003,0.011
"Unclassified","Scientifica (Cairo)","All authors","New",NA,92,381,36.483,0.149,0.06,0.228,0.151,0.061,0.23,0.002,0.008
"Medicine","Sports Med","All authors","New",0.442,92,355,23.38,0.085,-0.033,0.145,0.088,-0.032,0.142,0.061,0.119
"Medicine","World J Hepatol","All authors","New",NA,92,415,28.193,0.022,-0.014,0.098,0.026,-0.009,0.098,0.576,0.67
"Biochemistry","Bioconjug Chem","All authors","New",NA,91,522,33.333,0.074,0.003,0.105,0.076,0.007,0.108,0.011,0.031
"Brain","Brain Behav Immun","All authors","New",0.3,91,538,43.309,0.035,-0.022,0.095,0.04,-0.016,0.104,0.239,0.345
"Medicine","Curr Top Med Chem","All authors","New",0.158,91,330,40,0.116,-0.011,0.157,0.121,-0.01,0.161,0.018,0.047
"Nutritional Sciences","Eur J Nutr","All authors","New",0.132,91,583,56.604,0.097,0.044,0.15,0.1,0.046,0.153,0,0
"Ophthalmology","Exp Eye Res","All authors","New",0.176,91,409,40.831,0.078,-0.002,0.144,0.083,0.002,0.145,0.043,0.091
"Pathology","Histopathology","All authors","New",0.21,91,483,35.611,0.064,0.019,0.166,0.067,0.025,0.165,0.053,0.107
"Pediatrics","Indian J Pediatr","All authors","New",-0.275,91,328,44.207,0.104,-0.005,0.179,0.107,-0.001,0.176,0.037,0.082
"Medicine","Iran Red Crescent Med","All authors","New",NA,91,409,40.098,0.18,0.082,0.299,0.182,0.087,0.292,0,0
"Ophthalmology","J AAPOS","All authors","New",-0.332,91,360,44.167,0.064,0.012,0.179,0.064,0.009,0.183,0.16,0.254
"Nutritional Sciences","J Food Sci","All authors","New",-0.161,91,387,52.713,0.103,0.012,0.156,0.108,0.017,0.155,0.012,0.034
"Diagnostic Imaging","J Magn Reson","All authors","New",0.132,91,352,14.489,0.05,-0.008,0.112,0.055,-0.005,0.114,0.288,0.395
"Cardiology","J Nucl Cardiol","All authors","New",0.1,91,354,19.209,0.049,-0.041,0.064,0.056,-0.027,0.07,0.327,0.435
"Medicine","J Sports Med Phys Fitness","All authors","New",-0.259,91,436,22.936,0.132,0.035,0.186,0.137,0.035,0.19,0.001,0.004
"Neurology","Neurosurg Focus","All authors","New",-0.019,91,421,14.964,-0.054,-0.092,-0.021,-0.047,-0.086,-0.018,0.133,0.219
"Nursing","Nurs Stand","All authors","New",NA,91,235,74.468,0.095,-0.068,0.172,0.101,-0.066,0.174,0.245,0.351
"Cell Biology","Plant Cell Environ","All authors","New",0.24,91,483,36.439,0.04,-0.02,0.076,0.042,-0.022,0.076,0.23,0.335
"Medicine","Pol Arch Med Wewn","All authors","New",0.008,91,417,40.528,0.105,0.016,0.177,0.107,0.02,0.181,0.008,0.024
"Pharmacology","Ann Pharmacother","All authors","New",-0.116,90,329,48.024,0.049,-0.048,0.112,0.057,-0.042,0.122,0.325,0.434
"Unclassified","Appl Radiat Isot","All authors","New",-0.219,90,401,28.18,0.069,0.002,0.163,0.072,0.002,0.168,0.086,0.156
"Toxicology","Arch Toxicol","All authors","New",0.434,90,473,42.072,0.081,0.002,0.114,0.082,0.002,0.117,0.01,0.029
"Unclassified","Arthrosc Tech","All authors","New",NA,90,347,6.052,0.02,-0.061,0.111,0.034,-0.048,0.135,0.681,0.761
"Primary Health Care","Aten Primaria","All authors","New",NA,90,430,52.093,0.095,0.086,0.261,0.1,0.098,0.261,0.012,0.034
"Medicine","BMC Med","All authors","New",0.599,90,461,37.31,0.095,0.026,0.137,0.096,0.031,0.141,0.005,0.017
"Cell Biology","EMBO J","All authors","New",NA,90,458,41.266,0.003,-0.043,0.032,0.004,-0.042,0.031,0.941,0.962
"Cell Biology","Exp Cell Res","All authors","New",-0.021,90,456,46.053,0.152,0.073,0.185,0.155,0.072,0.19,0,0
"Cardiology","Expert Rev Cardiovasc Ther","All authors","New",NA,90,302,20.861,0.056,-0.038,0.114,0.064,-0.035,0.115,0.325,0.434
"Gastroenterology","Gut","All authors","New",0.723,90,610,33.115,0.091,0.037,0.104,0.094,0.039,0.106,0,0
"Pediatrics","J Pediatr Endocrinol Metab","All authors","New",-0.223,90,456,55.482,0.112,0.039,0.205,0.117,0.045,0.209,0,0
"Transplantation","Liver Transpl","All authors","New",NA,90,500,29.8,0.057,-0.002,0.12,0.059,0.007,0.116,0.084,0.154
"Physical and Rehabilitation Medicine","PM","All authors","New",NA,90,369,37.669,0.168,0.053,0.205,0.173,0.053,0.212,0,0
"Medicine","Respir Med","All authors","New",0.178,90,549,38.069,0.104,0.055,0.172,0.108,0.055,0.173,0,0
"Physiology","Am J Physiol Renal Physiol","All authors","New",NA,89,427,39.578,0.032,-0.035,0.103,0.036,-0.03,0.105,0.396,0.504
"Hematology","Ann Hematol","All authors","New",0.065,89,553,40.325,0.09,0.013,0.105,0.093,0.018,0.104,0.001,0.004
"Vascular Diseases","Arterioscler Thromb Vasc Biol","All authors","New",0.356,89,517,37.137,0.044,-0.016,0.088,0.048,-0.011,0.097,0.154,0.246
"Environmental Health","Bull Environ Contam Toxicol","All authors","New",-0.328,89,359,42.618,0.054,0.009,0.161,0.059,0.016,0.164,0.24,0.346
"Nutritional Sciences","Clin Nutr","All authors","New",0.273,89,499,41.683,0.126,0.028,0.173,0.128,0.028,0.178,0,0
"Microbiology","Diagn Microbiol Infect Dis","All authors","New",-0.063,89,536,52.985,0.067,0.006,0.119,0.069,0.016,0.128,0.016,0.043
"Medicine","Dtsch Arztebl Int","All authors","New",0.268,89,337,22.552,0.108,0.027,0.208,0.113,0.035,0.208,0.026,0.062
"Medical Informatics","IEEE Trans Image Process","All authors","New",0.184,89,282,12.411,-0.066,-0.132,0,-0.057,-0.126,0.003,0.286,0.392
"General Surgery","J Card Surg","All authors","New",-0.293,89,402,12.438,0.077,-0.007,0.184,0.085,0,0.19,0.047,0.097
"Dermatology","J Dermatol","All authors","New",-0.102,89,401,36.409,0.002,-0.052,0.063,0.004,-0.052,0.067,0.962,0.975
"General Surgery","J Gastrointest Surg","All authors","New",0.262,89,544,27.206,0.098,0.033,0.189,0.102,0.032,0.192,0.001,0.004
"Neoplasms","J Natl Cancer Inst","All authors","New",NA,89,489,42.536,0.158,0.056,0.173,0.161,0.06,0.172,0,0
"Neurology","Lancet Neurol","All authors","New",0.946,89,339,26.254,0.08,0.008,0.148,0.083,0.015,0.152,0.097,0.171
"Cell Biology","Mol Cell Proteomics","All authors","New",0.222,89,570,36.842,0.036,-0.008,0.103,0.037,-0.011,0.106,0.162,0.256
"Medicine","Oral Surg Oral Med Oral Pathol Oral Radiol","All authors","New",-0.204,89,407,38.575,0.005,-0.05,0.065,0.01,-0.045,0.075,0.92,0.951
"Unclassified","Perception","All authors","New",-0.312,89,262,38.168,0.015,-0.096,0.135,0.021,-0.094,0.146,0.833,0.887
"Medicine","Sleep Med","All authors","New",0.219,89,459,43.137,0.06,-0.018,0.113,0.061,-0.019,0.117,0.085,0.155
"Diagnostic Imaging","Abdom Radiol (NY)","All authors","New",NA,88,409,29.095,0.026,-0.054,0.051,0.031,-0.042,0.059,0.508,0.608
"Geriatrics","Aging (Albany NY)","All authors","New",0.218,88,438,44.064,-0.025,-0.059,0.03,-0.022,-0.058,0.034,0.504,0.606
"Botany","Ann Bot","All authors","New",0.007,88,408,41.912,0.087,0.001,0.149,0.093,0.011,0.159,0.022,0.055
"Microbiology","Curr Opin Microbiol","All authors","New",0.343,88,216,32.87,0.175,-0.016,0.304,0.175,-0.009,0.309,0.044,0.092
"Neoplasms","Expert Rev Anticancer Ther","All authors","New",-0.184,88,342,38.012,0.026,-0.056,0.082,0.029,-0.051,0.091,0.604,0.695
"Medicine","Int J Clin Exp Med","All authors","New",NA,88,501,25.749,0.131,0.036,0.18,0.134,0.037,0.179,0,0
"Behavioral Sciences","Int J Eat Disord","All authors","New",NA,88,456,61.623,0.075,0.009,0.118,0.079,0.012,0.123,0.026,0.062
"Psychology","J Exp Psychol Hum Percept Perform","All authors","New",NA,88,270,37.037,0.002,-0.101,0.125,0.008,-0.096,0.131,0.975,0.986
"Medicine","J Immigr Minor Health","All authors","New",NA,88,394,67.259,0.041,-0.03,0.102,0.044,-0.026,0.105,0.29,0.397
"Medicine","J Sci Med Sport","All authors","New",0.27,88,423,33.333,0.074,0.001,0.135,0.078,0.006,0.14,0.037,0.082
"Vascular Diseases","J Vasc Access","All authors","New",-0.234,88,365,24.932,0.176,0.043,0.213,0.179,0.049,0.22,0,0
"Endocrinology","Lancet Diabetes Endocrinol","All authors","New",0.719,88,327,28.135,0.101,-0.026,0.145,0.11,-0.013,0.152,0.047,0.097
"AIDS","Lancet HIV","All authors","New",0.476,88,359,44.847,0.036,-0.035,0.051,0.042,-0.027,0.059,0.472,0.574
"Nutritional Sciences","Meat Sci","All authors","New",0.069,88,411,50.365,0.065,-0.005,0.136,0.067,-0.01,0.136,0.08,0.148
"Neurology","Neuro Endocrinol Lett","All authors","New",-0.449,88,497,51.71,0.116,0.029,0.169,0.12,0.035,0.167,0,0
"Ophthalmology","Optom Vis Sci","All authors","New",-0.142,88,357,41.176,0.021,-0.054,0.088,0.024,-0.05,0.087,0.664,0.745
"Unclassified","Prz Menopauzalny","All authors","New",NA,88,406,51.478,0.172,0.064,0.237,0.174,0.073,0.238,0,0
"Medicine","SAGE Open Med","All authors","New",NA,88,396,50,0.086,0.029,0.22,0.09,0.03,0.218,0.035,0.079
"Psychiatry","Soc Psychiatry Psychiatr Epidemiol","All authors","New",-0.046,88,451,47.228,0.014,-0.036,0.047,0.015,-0.035,0.05,0.677,0.758
"Medicine","Vojnosanit Pregl","All authors","New",-0.755,88,504,50,0.167,0.097,0.284,0.169,0.099,0.283,0,0
"Geriatrics","Age Ageing","All authors","New",0.242,87,501,43.114,0.12,0.082,0.202,0.125,0.081,0.211,0.001,0.004
"Biology","Biol Open","All authors","New",NA,87,378,40.741,0.084,-0.015,0.124,0.087,-0.012,0.13,0.043,0.091
"Nursing","Br J Nurs","All authors","New",0.497,87,231,70.996,0.167,0.032,0.31,0.176,0.043,0.309,0.032,0.074
"Cardiology","Circ J","All authors","New",NA,87,439,20.957,0.157,0.062,0.167,0.159,0.056,0.168,0,0
"Medicine","Clin Kidney","All authors","New",NA,87,409,37.653,0.077,0.027,0.205,0.078,0.027,0.212,0.038,0.083
"Pediatrics","Eur J Pediatr","All authors","New",0.07,87,516,52.713,0.165,0.079,0.203,0.168,0.083,0.213,0,0
"Cardiology","Eur J Prev Cardiol","All authors","New",0.16,87,557,34.111,0.07,0.021,0.128,0.073,0.027,0.135,0.007,0.022
"Gastroenterology","Gastroenterol Hepatol","All authors","New",-0.547,87,511,47.945,0.024,-0.02,0.073,0.026,-0.015,0.083,0.405,0.512
"Urology","Int Braz J Urol","All authors","New",-0.316,87,507,17.357,0.221,0.109,0.279,0.225,0.107,0.278,0,0
"Diagnostic Imaging","Int J Cardiovasc Imaging","All authors","New",-0.055,87,626,24.601,0.078,0.015,0.126,0.082,0.018,0.128,0,0
"Nutritional Sciences","J Food Prot","All authors","New",-0.172,87,400,53.75,0.118,0.027,0.189,0.122,0.027,0.186,0.001,0.004
"Health Services","J Interprof Care","All authors","New",NA,87,366,66.393,0.014,-0.048,0.093,0.018,-0.041,0.102,0.746,0.814
"Nutritional Sciences","J Nutr","All authors","New",0.194,87,523,51.816,0.107,0.049,0.176,0.11,0.046,0.182,0,0
"Psychiatry","J Psychiatr Res","All authors","New",0.203,87,509,46.955,0.032,-0.034,0.064,0.035,-0.032,0.062,0.286,0.392
"Veterinary Medicine","J Wildl Dis","All authors","New",0.001,87,470,45.745,0.05,-0.028,0.081,0.053,-0.022,0.086,0.11,0.188
"Nanotechnology","Lab Chip","All authors","New",0.133,87,410,22.927,-0.003,-0.071,0.061,0.001,-0.061,0.062,0.933,0.956
"Nutritional Sciences","Matern Child Nutr","All authors","New",0.166,87,380,68.947,0.076,0.005,0.165,0.081,0.016,0.168,0.052,0.105
"Nephrology","Nefrologia","All authors","New",-0.286,87,569,47.1,0.019,-0.035,0.048,0.022,-0.033,0.051,0.49,0.592
"Pharmacology","Pharmacogenomics","All authors","New",-0.009,87,443,43.792,0.141,0.063,0.248,0.145,0.082,0.251,0,0
"Sexually Transmitted Diseases","Sex Health","All authors","New",-0.265,87,451,57.871,0.132,0.038,0.172,0.133,0.041,0.182,0.001,0.004
"Biochemistry","Structure","All authors","New",0.226,87,442,29.186,0.007,-0.045,0.048,0.01,-0.048,0.056,0.829,0.883
"Psychology","Wiley Interdiscip Rev Cogn Sci","All authors","New",NA,87,208,45.673,0.129,-0.043,0.28,0.136,-0.012,0.297,0.115,0.195
"Neurology","BMC Neurol","All authors","New",-0.132,86,580,44.483,0.064,0.03,0.127,0.065,0.032,0.131,0.012,0.034
"Unclassified","Beilstein J Nanotechnol","All authors","New",NA,86,416,27.885,0.1,-0.011,0.153,0.106,-0.01,0.161,0.01,0.029
"Neoplasms","Cancer Med","All authors","New",-0.041,86,636,45.912,0.045,-0.001,0.085,0.046,0.004,0.085,0.039,0.085
"Endocrinology","Diabetes Res Clin Pract","All authors","New",-0.01,86,479,43.424,0.076,-0.005,0.131,0.077,-0.004,0.133,0.017,0.045
"Neurology","Headache","All authors","New",0.047,86,339,41.888,0.096,-0.006,0.128,0.099,-0.009,0.124,0.037,0.082
"Dermatology","Indian J Dermatol Venereol Leprol","All authors","New",-0.127,86,329,44.377,0.106,-0.016,0.186,0.11,-0.006,0.183,0.023,0.057
"Anatomy","J Anat","All authors","New",0.065,86,339,40.118,0.097,0.042,0.185,0.101,0.039,0.2,0.051,0.104
"Neurology","J Cogn Neurosci","All authors","New",0.127,86,347,40.634,0.055,-0.043,0.141,0.061,-0.041,0.138,0.248,0.354
"Dermatology","J Drugs Dermatol","All authors","New",-0.117,86,313,42.173,-0.008,-0.092,0.058,-0.002,-0.093,0.061,0.912,0.945
"Social Sciences","J Interpers Violence","All authors","New",NA,86,303,60.066,0.046,-0.043,0.142,0.05,-0.037,0.149,0.376,0.484
"Cardiology","JACC Cardiovasc Imaging","All authors","New",NA,86,424,21.934,0.091,0.025,0.13,0.094,0.026,0.131,0.022,0.055
"Biochemistry","Macromol Rapid Commun","All authors","New",0.173,86,351,23.647,0.039,-0.045,0.075,0.04,-0.044,0.071,0.386,0.494
"Nutritional Sciences","Mol Nutr Food Res","All authors","New",0.28,86,542,52.03,0.043,0.003,0.105,0.046,0.006,0.113,0.119,0.2
"Neurology","NeuroRehabilitation","All authors","New",-0.262,86,361,56.233,0.07,-0.043,0.1,0.074,-0.038,0.105,0.13,0.215
"Medicine","Phys Med","All authors","New",NA,86,486,34.362,0.172,0.143,0.275,0.174,0.148,0.279,0,0
"Rheumatology","Rheumatol Int","All authors","New",-0.193,86,453,47.682,0.116,0.01,0.134,0.119,0.018,0.142,0,0
"Medicine","S Afr Med J","All authors","New",NA,86,302,45.364,0.061,-0.036,0.144,0.062,-0.038,0.139,0.265,0.371
"Pulmonary Medicine","Thorax","All authors","New",0.502,86,457,38.95,0.082,0.037,0.124,0.084,0.039,0.131,0.014,0.039
"General Surgery","Vet Surg","All authors","New",-0.074,86,375,42.667,0.049,-0.023,0.109,0.055,-0.021,0.116,0.215,0.316
"Psychiatry","Compr Psychiatry","All authors","New",NA,85,469,51.599,0.004,-0.036,0.056,0.009,-0.031,0.059,0.903,0.938
"Medicine","Curr Med Res Opin","All authors","New",0.117,85,392,35.459,0.1,0.015,0.17,0.104,0.021,0.171,0.011,0.031
"Pharmacology","Drug Dev Ind Pharm","All authors","New",-0.056,85,376,40.691,0.156,0.073,0.237,0.158,0.07,0.234,0.001,0.004
"Psychology","Eat Behav","All authors","New",NA,85,323,70.898,0.067,-0.007,0.182,0.069,0.001,0.182,0.18,0.277
"Environmental Health","Ecol Lett","All authors","New",0.628,85,373,34.048,0.063,-0.001,0.148,0.07,0.007,0.15,0.126,0.209
"Unclassified","Emerg (Tehran)","All authors","New",NA,85,379,21.9,0.032,-0.059,0.116,0.038,-0.064,0.122,0.418,0.525
"Environmental Health","Environ Health Perspect","All authors","New",0.522,85,524,47.71,0.074,0.035,0.147,0.076,0.037,0.146,0.01,0.029
"Traumatology","Eur J Orthop Surg Traumatol","All authors","New",NA,85,387,14.729,0.063,0.01,0.128,0.067,0.011,0.133,0.1,0.175
"Geriatrics","Exp Gerontol","All authors","New",0.143,85,465,44.516,0.099,0.012,0.149,0.103,0.018,0.155,0.001,0.004
"Unclassified","Front Vet Sci","All authors","New",NA,85,378,41.27,0.05,-0.025,0.108,0.053,-0.025,0.108,0.248,0.354
"Medicine","Future Med Chem","All authors","New",0.22,85,349,42.693,0.094,0.029,0.21,0.098,0.039,0.211,0.041,0.088
"Psychology","Health Psychol","All authors","New",0.078,85,366,60.929,0.048,-0.031,0.149,0.052,-0.023,0.152,0.261,0.366
"Medicine","Int J Equity Health","All authors","New",NA,85,334,53.892,0.001,-0.074,0.07,0.002,-0.075,0.072,0.986,0.993
"Urology","Int Urol Nephrol","All authors","New",-0.145,85,516,29.457,0.218,0.142,0.33,0.222,0.147,0.332,0,0
"Cardiology","J Cardiovasc Electrophysiol","All authors","New",0.124,85,444,22.748,-0.012,-0.051,0.049,-0.007,-0.052,0.059,0.776,0.841
"Unclassified","J Fluoresc","All authors","New",-0.07,85,319,29.154,0.045,-0.035,0.137,0.048,-0.032,0.139,0.393,0.501
"Nursing","J Nurs Manag","All authors","New",0.229,85,321,75.389,0.119,0.024,0.213,0.125,0.03,0.223,0.018,0.047
"Microbiology","Jundishapur J Microbiol","All authors","New",NA,85,388,36.598,0.046,-0.016,0.118,0.048,-0.013,0.119,0.247,0.353
"Statistics as Topic","Risk Anal","All authors","New",0.118,85,254,38.583,0.037,-0.038,0.17,0.038,-0.049,0.174,0.572,0.666
"Medicine","Am J Case Rep","All authors","New",NA,84,323,33.746,-0.067,-0.089,0.055,-0.063,-0.088,0.055,0.178,0.276
"Midwifery","Aust Nurs Midwifery","All authors","New",NA,84,244,86.885,0.053,-0.046,0.272,0.06,-0.036,0.275,0.451,0.556
"Transplantation","Biol Blood Marrow Transplant","All authors","New",0.273,84,646,42.105,0.162,0.102,0.242,0.165,0.103,0.241,0,0
"Cell Biology","Cell Metab","All authors","New",0.688,84,361,35.457,0.014,-0.037,0.075,0.017,-0.037,0.073,0.777,0.841
"General Surgery","Cir Cir","All authors","New",-1.05,84,413,26.634,0.063,-0.006,0.115,0.07,0.006,0.123,0.089,0.161
"Medicine","Comput Methods Programs Biomed","All authors","New",NA,84,308,23.052,0.093,0.023,0.211,0.096,0.019,0.211,0.076,0.143
"Endocrinology","Curr Diab Rep","All authors","New",NA,84,274,62.774,0.179,0.06,0.302,0.18,0.07,0.302,0.004,0.014
"Drug Therapy","Curr Drug Targets","All authors","New",0.116,84,372,42.204,-0.008,-0.052,0.069,-0.005,-0.051,0.067,0.866,0.91
"Psychology","Dev Psychol","All authors","New",NA,84,296,60.473,0.094,-0.029,0.192,0.098,-0.034,0.185,0.081,0.15
"Audiology","Ear Hear","All authors","New",0.082,84,336,50.298,0.122,-0.008,0.154,0.126,-0.003,0.157,0.008,0.024
"Ophthalmology","Indian J Ophthalmol","All authors","New",-0.385,84,311,30.547,0.163,0.04,0.222,0.168,0.047,0.238,0,0
"Nutritional Sciences","J Acad Nutr Diet","All authors","New",0.179,84,334,79.042,0.129,-0.003,0.189,0.137,0.007,0.2,0.003,0.011
"Vascular Diseases","J Clin Hypertens (Greenwich)","All authors","New",NA,84,422,38.389,0.122,0.051,0.194,0.125,0.052,0.2,0,0
"Endocrinology","J Diabetes Sci Technol","All authors","New",NA,84,374,37.433,0.043,-0.038,0.105,0.051,-0.032,0.112,0.325,0.434
"General Surgery","J Neurointerv Surg","All authors","New",NA,84,443,11.964,0.018,-0.029,0.057,0.023,-0.027,0.063,0.578,0.67
"Traumatology","J Neurotrauma","All authors","New",0.414,84,527,34.535,0.078,0.017,0.121,0.082,0.02,0.131,0.003,0.011
"Substance-Related Disorders","J Subst Abuse Treat","All authors","New",NA,84,421,54.157,0.025,-0.036,0.091,0.026,-0.035,0.086,0.484,0.586
"Women's Health","J Womens Health (Larchmt)","All authors","New",NA,84,380,70.263,0.1,0.02,0.176,0.104,0.029,0.182,0.016,0.043
"Physical and Rehabilitation Medicine","Man Ther","All authors","New",0.002,84,363,43.526,0.155,0.074,0.216,0.158,0.087,0.215,0.001,0.004
"Immunology","Mol Immunol","All authors","New",0.021,84,390,43.846,0.027,-0.034,0.129,0.03,-0.031,0.13,0.509,0.608
"Sexually Transmitted Diseases","Sex Transm Dis","All authors","New",0.12,84,454,62.775,0.031,-0.031,0.097,0.031,-0.031,0.107,0.323,0.433
"Unclassified","Sleep Breath","All authors","New",0.094,84,452,37.611,0.079,-0.003,0.155,0.081,0.002,0.157,0.027,0.064
"General Surgery","Surg Neurol Int","All authors","New",NA,84,362,20.994,0.055,-0.03,0.131,0.057,-0.023,0.135,0.19,0.289
"Microbiology","Vet Microbiol","All authors","New",-0.043,84,502,50.199,0.059,0.015,0.133,0.062,0.016,0.129,0.044,0.092
"Pharmacology","Adv Drug Deliv Rev","All authors","New",0.752,83,251,37.052,0.064,-0.056,0.198,0.067,-0.045,0.21,0.32,0.43
"Cell Biology","Bioessays","All authors","New",0.125,83,225,35.111,0.09,-0.044,0.225,0.098,-0.037,0.221,0.239,0.345
